ticker,shares,avg_price,purchase_date,notes
TLV.RO,1000,48.46,2024-01-01,Banca Transilvania - 48.46%
SNP.RO,500,14.50,2024-01-01,OMV Petrom - 7.25%
DIGI.RO,100,59.30,2024-01-01,Digi Communications - 5.93%
EL.RO,200,17.60,2024-01-01,Electrica - 3.52%
TEL.RO,150,20.33,2024-01-01,Transelectrica - 3.05%
DN.RO,300,9.60,2024-01-01,DN Agrar Group - 2.88%
AQ.RO,250,11.44,2024-01-01,Aquila - 2.86%
SNG.RO,180,13.39,2024-01-01,Romgaz - 2.41%
SNN.RO,120,14.17,2024-01-01,Nuclearelectrica - 1.70%
ONE.RO,400,3.83,2024-01-01,One United Properties - 1.53%
TGN.RO,80,14.25,2024-01-01,Transgaz - 1.14%
SFG.RO,90,11.89,2024-01-01,Sphera Franchise Group - 1.07%
AROBS.RO,200,5.30,2024-01-01,Arobs Transilvania Software - 1.06%
M.RO,50,8.80,2024-01-01,Medlife - 0.44%
PE.RO,100,3.80,2024-01-01,Premier Energy - 0.38%
TRP.RO,30,4.00,2024-01-01,Teraplast - 0.12%
EAI.RO,10,3.00,2024-01-01,Electro-Alfa International - 0.03%
